,Actual,Mean_Simulation,Simulated_18,Simulated_15,Simulated_28,Simulated_43,Simulated_23,Simulated_22,Simulated_24,Simulated_8,Simulated_26,Simulated_25,Simulated_47,Simulated_27,Simulated_35,Simulated_41,Simulated_0,Simulated_38,Simulated_4,Simulated_11,Simulated_31,Simulated_20,Simulated_12,Simulated_3,Simulated_40,Simulated_5,Simulated_21,Simulated_17,Simulated_44,Simulated_16,Simulated_32,Simulated_36,Simulated_13,Simulated_9,Simulated_37,Simulated_6,Simulated_29,Simulated_42,Simulated_49,Simulated_7,Simulated_14,Simulated_45,Simulated_39,Simulated_19,Simulated_48,Simulated_33,Simulated_10,Simulated_2,Simulated_34,Simulated_30,Simulated_1,Simulated_46
26,89784.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,92879.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,93680.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,95541.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,95402.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,96726.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,98127.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,98899.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,98936.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,94642.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,95731.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,98144.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,98558.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,99052.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,99459.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,100386.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,99326.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,63745.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,102145.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,68658.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,66863.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,66772.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,67183.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,67459.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,68722.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,69429.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,69798.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,71737.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,71711.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,71788.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,74865.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,80013.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,77671.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,79153.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,87576.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,89830.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,115264.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,110234.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,116422.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,116421.99999999999,116421.99999999999,116421.99999999999,116421.99999999999,116421.99999999999,116421.99999999999,116421.99999999999,116421.99999999999,116421.99999999999,116421.99999999999,116421.99999999999,116421.99999999999,116421.99999999999,116421.99999999999,116421.99999999999,116421.99999999999,116421.99999999999,116421.99999999999,116421.99999999999,116421.99999999999,116421.99999999999,116421.99999999999,116421.99999999999,116421.99999999999,116421.99999999999,116421.99999999999,116421.99999999999,116421.99999999999,116421.99999999999,116421.99999999999,116421.99999999999,116421.99999999999,116421.99999999999,116421.99999999999,116421.99999999999,116421.99999999999,116421.99999999999,116421.99999999999,116421.99999999999,116421.99999999999,116421.99999999999,116421.99999999999,116421.99999999999,116421.99999999999,116421.99999999999,116421.99999999999,116421.99999999999,116421.99999999999,116421.99999999999,116421.99999999999,116421.99999999999
66,,116414.0181518488,115505.67439240256,115682.91598009161,118879.98800907264,115114.72128056946,115153.51550082323,112479.03839823246,116057.05747597264,114405.47050995503,115618.22762190195,116131.0850485456,112204.19172539868,121692.00540930308,111490.84969835116,123065.4465144426,115256.25649376799,118771.74229516421,116204.05581374648,108195.42393450628,119750.8733682851,120091.35915491277,109431.65694910072,121533.4617130636,109531.44723155766,106885.35779584572,115759.98851488052,119810.48075774177,120678.3605679631,117781.98172559195,112290.55405435406,118963.75737141042,119822.51746080675,119341.49415523293,123093.51056037657,123198.04529001842,115341.18651000173,122877.61109716176,123793.2632536495,107001.94814675824,125367.66142230795,120665.61368267826,120746.27153372696,112879.06861011109,111580.16792619317,130157.20081343179,123053.21903065273,109603.39901759983,126793.29276037504,108013.97611322536,103572.97354553216,99381.54135564601
67,,119377.72696372532,120170.02508399867,117244.45078638196,120972.09343153398,116020.21388229166,115443.84460834938,117893.2724552729,114207.48051635381,115701.062945259,124754.04419343479,113163.2623383417,117034.16140907022,118015.38489624001,117048.04092832597,118719.59774622835,112996.29388694475,124765.01656695819,127143.48039623181,119550.87657249867,124442.40839737665,124515.49116982281,121412.46960824305,123504.2776028782,116940.70992434522,119498.41271039916,128810.40268765803,112326.15449983098,112492.8841923257,129303.2849936105,111972.34544372126,128538.370411681,128449.13366925325,128946.85171857872,125624.83269068108,125694.45870227783,106255.7129421384,130201.53346930972,129960.36502989056,110800.71002597567,129483.61959512901,134490.4267304137,134470.8958355698,103023.0781381639,103445.87428597514,127927.5954219708,135055.58529603883,103631.37883790472,133138.07595432177,100194.30510424303,98716.0755358141,94776.02491700533
